# Functional groups: one named SMARTS per group, read by `chython.reactions._tables`.
# A map number is scoped to its own row: `:3` in two rows of one family need not be the same atom.
#
# `M` LATER IN AN ATOM BODY IS THE DELETION MASK, which is what makes the `lactam_<1-6>_halide` rows
# below possible: an atom named purely as ring context is matched, is not numbered, and is still not
# consumed.  `M` as the FIRST primitive is the metal wildcard -- one letter, two readings, both in
# `docs/substructure.rst`.
#
# COLUMNS
#   name         the chemist's shorthand.  `mol.functional_groups()` reports under it and a
#                `reactions.tsv` slot resolves by it, so it is an API name: do not rename one.
#   smarts       chython SMARTS.  See NUMBERING and DIALECT below.
#   example      a public compound this row MUST match, written AROMATIZED -- a pattern saying
#                `[C;a]:[C;a]` does not match a ring spelled `C1=CC=C...`.
#   decoys       comma-joined SMILES this row must NOT match.  Where a pattern was widened once and
#                went too far, the thing it wrongly caught lives here.  May be empty.
#
# The `example`/`decoys` pair is an acceptance test and not a comment: `test/test_functional.py` runs
# every row against both.  A row with a pattern that can never match is otherwise invisible.
#
# NUMBERING, WHICH THE REACTION TABLES DEPEND ON.  Atoms are numbered LEFT TO RIGHT in the string
# starting at 1, and AN ATOM THE REACTION CONSUMES IS LEFT UNNUMBERED.  A product side deletes by
# absence, so an unnumbered reactant atom -- a halide leaving group, the OH of an acid, the boron of a
# boronic acid -- is gone from every product without any template saying so.  No number is read specially,
# and the renumbering is what keeps a group's numbers inside one slot's stride of 100.
#
# Numbering does NOT affect `mol.functional_groups()`, which matches the whole pattern either way.  It
# decides what a reaction row built on the group can keep, so a row's leaving-group choice is a chemical
# claim and not a spelling.  Numbering an atom is the general choice and leaving it unnumbered the specific
# one: a template that wants an atom gone omits it from its OWN product side, whereas an unnumbered atom is
# gone from every template, including the ones not written yet.
#
# ADDING AN ATOM TO A ROW renumbers nothing as long as it goes on the end -- the reaction rows reference
# `:1`, `:2`, `:101` and so on, and a new highest number is invisible to them -- but it is NOT invisible
# to what they delete.  A product side keeps by restating, so the new atom is matched, unstated and
# therefore deleted by every row using this group.  Numbering `tertiary_amine`'s three substituents makes
# `nitrogen_oxidation` on trimethylamine yield `[NH3+][O-]` instead of the N-oxide unless that row's
# product side restates them; `test_tables.py` refuses a silent one.  Inserting a number in the MIDDLE
# changes what every reaction using the group builds, so do not.
#
# DIALECT.  `smarts` is chython SMARTS, not Daylight: an absent bond matches single ONLY, so an aromatic
# bond has to be written `:`, and `z` is 1-6 with `z3` meaning sp AND NOTHING ELSE (chython 2's `z3`
# saturated and also caught sulfones, nitro groups and allenes -- every ported row had to be re-read for
# it).  A sulfone/sulfonyl/nitro centre is `z5`, but a row already writing both `=[O]` out has stated
# that, so the rows below do not repeat it.  `x` counts heteroatom neighbours, and B, S, Si, Sn and Mg
# all count -- a CF3 carbon bonded to sulfur is `x4`, not `x3`.
id	name	smarts	example	decoys	description
1	terminal_alkene	[C;z2;x0;D1:1]=[C;z2;x0;D2,D3:2]	C=CCC	CC=CC,C=CN	monosubstituted C=C
2	alkene	[C;z2;x0;D2,D3:1]=[C;z2;x0;D2,D3:2]	CC=CC	C=CCC,CC=CO	internal C=C, no heteroatom on either carbon
3	terminal_alkyne	[C;z3;x0;D1:1]#[C;x0;D2:2]	C#CCC	CC#CC	monosubstituted C#C, the Sonogashira nucleophile
4	alkyne	[C;z3;x0;D2:1]#[C;x0;D2:2]	CC#CC	C#CCC	internal C#C
5	aryl_fluoride	[F;D1]-[C;a:1]	Fc1ccccc1	FCc1ccccc1	Ar-F, an SNAr electrophile rather than a cross-coupling one
6	aryl_chloride	[Cl;D1]-[C;a:1]	Clc1ccccc1	ClCc1ccccc1	Ar-Cl
7	aryl_bromide	[Br;D1]-[C;a:1]	Brc1ccccc1	BrCc1ccccc1	Ar-Br
8	aryl_iodide	[I;D1]-[C;a:1]	Ic1ccccc1	ICc1ccccc1	Ar-I
9	alkyl_chloride	[Cl;D1][C;z1;x1:1]	CCCCl	Clc1ccccc1,ClC(Cl)Cl	R-Cl on sp3 carbon
10	alkyl_bromide	[Br;D1][C;z1;x1:1]	CCCBr	Brc1ccccc1,BrC(Br)Br	R-Br on sp3 carbon
11	alkyl_iodide	[I;D1][C;z1;x1:1]	CCCI	Ic1ccccc1	R-I on sp3 carbon
12	aryl_boronic_acid	[B;D3;z1;x2](-[O;D1])(-[O;D1])-;!@[C;a:1]	OB(O)c1ccccc1	CC1(C)OB(OC1(C)C)c1ccccc1	ArB(OH)2
13	aryl_boronic_ester	[B;D3;z1;x2](-[O;D2;x1])(-[O;D2;x1])-;!@[C;a:1]	CC1(C)OB(OC1(C)C)c1ccccc1	OB(O)c1ccccc1	ArB(OR)2, pinacol boronate and its kin
14	alkyl_boronic_acid	[B;D3;z1;x2](-[O;D1])(-[O;D1])-;!@[C;z1;x1:1]	OB(O)CCCC	OB(O)c1ccccc1	RB(OH)2 on sp3 carbon
15	primary_alcohol	[O;D1;z1;x0:1][C;D2;x1;z1:2]	CCO	CC(C)O,Oc1ccccc1	R-CH2-OH
16	secondary_alcohol	[O;D1;z1;x0:1][C;D3;x1;z1:2]	CC(C)O	CCO,CC(C)(C)O	R2CH-OH
17	tertiary_alcohol	[O;D1;z1;x0:1][C;D4;x1;z1:2]	CC(C)(C)O	CC(C)O	R3C-OH
18	phenol	[O;D1;z1;x0:1]-[C;a:2]	Oc1ccccc1	OCc1ccccc1	Ar-OH
19	vicinal_diol	[O;D1;z1;x0:1]-[C;z1;x1:2]-[C;z1;x1:3]-[O;D1;z1;x0:4]	OCCO	OCCCO	1,2-diol, the dihydroxylation product
20	aldehyde	[O;z2;x0:1]=[C;D2;x1;z2:2]	CCC=O	CC(C)=O,CC(=O)O	R-CHO
