# maccs.tsv -- the 166 published MACCS structural keys.
# Durant, Leland, Henry, Nourse, J. Chem. Inf. Comput. Sci. 2002, 42, 1273.
#
# PROVENANCE, AND THE LIMIT OF WHAT THIS FILE CLAIMS.  the 166-bit NUMBERING is MDL's; the PATTERNS
# are chython's reading of the published key descriptions, written in chython SMARTS.  nothing here
# claims bit-for-bit parity with any other implementation, and a bit that differs from another
# toolkit's is a documented difference, not a defect -- widely used implementations knowingly differ
# from the published list, and where they do this file follows the publication.  DO NOT reconcile a
# row against another implementation's key file and do not use one as an oracle; the oracle is
# tables/maccs_corpus.tsv, whose expected answers are read off the published descriptions by hand.
#
# kind = smarts    : the key is set when the pattern matches at least once.  count is 1.
#        count     : the key is set when the pattern matches at least `count` DISTINCT atom sets.
#                    this is how the published "> n" wordings are expressed.
#        predicate : the key is not a substructure at all.  `predicate` names one of the registered
#                    predicates and `pattern` is `-`.
#        unset     : the published description states no definition, so there is nothing to
#                    transcribe and the bit is PERMANENTLY ZERO.  exactly one key: 44, whose
#                    published description is the literal placeholder `OTHER`.  a guessed pattern
#                    would be invented chemistry and a copied one would breach the licence posture,
#                    so the honest answer is a zero a caller can read the reason for.
#
# ONE-BASED.  key 1 is the published key 1; maccs_keys()[0] is permanently zero.
#
# THE MDL SHORTHAND, AND ITS chython SPELLING.  the published descriptions are MDL's key notation:
#   A       any heavy atom                      [!#1;*]
#   Q       any heteroatom (not C, not H)        [!#6;!#1;*]
#   X       halogen                              [F,Cl,Br,I;*]
#   AH, QH  the same atom bearing a hydrogen     append ;H1,H2,H3,H4
#   CH2     carbon with exactly two hydrogens    [C;*;H2]
#   T       triple bond                          #
#   %A      the bond is aromatic                 :
#   not%A   the bond is not aromatic             -,=,#
#   $A      the bond is a ring bond              ~;@
#   !A      the bond is a non-ring bond          ~;!@
#   @1      the atoms close a ring of that size  the r<n> primitive on a ring atom
#   nM Ring membership of an n-membered ring     [!#1;*;r<n>]
#   > n     at least n+1 distinct sites          kind = count, count = n + 1
# a bare adjacency with no bond character stated is `-,=` where an aromatic reading is excluded and
# `~` where it is not; which one, and why, is in the row's own description.
#
# `A` AND `Q` CARRY `!#1` BECAUSE `[*]` MATCHES AN EXPLICIT HYDROGEN.  ethanol has 3 `[*]` sites and,
# after explicify_hydrogens(), 9; `[!#1;*]` answers 3 both times.  MDL's `A` is an atom other than
# hydrogen -- the shorthand has a separate `AH` for "A bearing a hydrogen" -- and a descriptor may not
# change because a caller made hydrogens explicit.  Q is never narrowed to "N, O or S": three quarters
# of the Q keys would become a different key.
# EVERY BRACKET ATOM FREES THE CHARGE (`*`) or states one: an unstated charge is charge ZERO in
# chython SMARTS and no MACCS key means neutral-only.
# EVERY BOND IS WRITTEN OUT.  an absent bond token matches SINGLE ONLY, so two aromatic atoms are
# joined by `:` and an "any bond" is `~`; a juxtaposed `][` is always a transcription slip and
# test_maccs_tsv.py::test_no_pattern_leaves_a_bond_implicit refuses it.
key	kind	pattern	count	predicate	description
1	predicate	-	0	isotope	ISOTOPE
2	predicate	-	0	atomic_number_gt_103	103 < atomic no. < 256.  the second of the two high-atomic-number keys, key 1 being the isotope key; the published column states no wording, so this is chython's reading
3	smarts	[Ge,As,Se,Sn,Sb,Te,Pb,Bi,Po;*]	1	-	Group IVa,Va,VIa Rows 4-6
4	smarts	[Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr;*]	1	-	actinide.  overlaps key 2's predicate above lawrencium; both are published and both stay
5	smarts	[Sc,Y,La,Ac,Ti,Zr,Hf;*]	1	-	Group IIIB,IVB (Sc...)
6	smarts	[La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu;*]	1	-	Lanthanide
7	smarts	[V,Nb,Ta,Cr,Mo,W,Mn,Tc,Re;*]	1	-	Group VB,VIB,VIIB
8	smarts	[!#6;!#1;*;r4]~;@[!#1;*]~;@[!#1;*]~;@[!#1;*]	1	-	QAAA@1: a heteroatom and three heavy atoms closing a four-membered ring
9	smarts	[Fe,Co,Ni,Ru,Rh,Pd,Os,Ir,Pt;*]	1	-	Group VIII (Fe...)
10	smarts	[Be,Mg,Ca,Sr,Ba,Ra;*]	1	-	Group IIa (Alkaline earth)
11	smarts	[!#1;*;r4]	1	-	4M Ring
12	smarts	[Cu,Ag,Au,Zn,Cd,Hg;*]	1	-	Group IB,IIB (Cu..)
13	smarts	[O;*]=,-[N;*](-[C;*])-[C;*]	1	-	ON(C)C.  the O-N bond order is not stated, so `=,-` -- the single-only spelling misses every N-oxide and nitrone
14	smarts	[S;*]-[S;*]	1	-	S-S
15	smarts	[O;*]~[C;*](~[O;*])~[O;*]	1	-	OC(O)O.  `~` for the whole OC(O)O / NC(O)O / NC(N)N / OS(O)O family: an all-single reading makes this an orthoester key, and a carbonate carries one C=O
16	smarts	[!#6;!#1;*;r3]~;@[!#1;*]~;@[!#1;*]	1	-	QAA@1: a heteroatom and two heavy atoms closing a three-membered ring
17	smarts	[C;*]#[C;*]	1	-	CTC
18	smarts	[B,Al,Ga,In,Tl;*]	1	-	Group IIIA (B...)
19	smarts	[!#1;*;r7]	1	-	7M Ring
20	smarts	[Si;*]	1	-	Si
21	smarts	[C;*]=[C;*](-[!#6;!#1;*])-[!#6;!#1;*]	1	-	C=C(Q)Q
22	smarts	[!#1;*;r3]	1	-	3M Ring
23	smarts	[N;*]~[C;*](~[O;*])~[O;*]	1	-	NC(O)O: the carbamate key.  `~` for the reason on key 15
24	smarts	[N;*]-[O;*]	1	-	N-O
25	smarts	[N;*]~[C;*](~[N;*])~[N;*]	1	-	NC(N)N: the guanidine key.  `~` for the reason on key 15
26	smarts	[C;*]=;@[C;*](~;@[!#1;*])~;@[!#1;*]	1	-	C$=C($A)$A: a ring double bond, both other bonds on the second carbon also ring bonds
27	smarts	[I;*]	1	-	I
