# The isotope table: one row per nuclide chython knows a mass or an abundance for.  MAINTAINED BY
# HAND -- this file is the authority, not a rendering of anything else.  After editing it run
# `python chython/core/test/gen_element_tables.py`, which transposes it into the ISOTOPE_* arrays
# in _elements.pxi; a test fails if the two ever disagree.
#
# Rows are sorted by (z, mass_number) and that order is what the compiled layout is: the flat
# arrays are this file with the columns transposed, and ISOTOPE_OFFSETS/ISOTOPE_COUNTS are where
# each element's run starts and how long it is.  Reordering the file reorders the arrays.
#
# `exact_mass` is in daltons.  `?` says NOBODY HAS A MASS FOR THIS NUCLIDE, which is a different
# claim from 0.0 and is why it is a token and not a number.  Two rows are `?`, both superheavy, and
# both are here only because elements.tsv names them -- tennessine's 297 is not a known nuclide at
# all (293 and 294 are).  They compile to 0.0, so the answer is visibly wrong rather than plausible.
#
# The masses are not all from one evaluation of the nuclear data.  Where two evaluations are
# compared they agree to about 1e-5, so replacing the column wholesale from a single source would
# move real molecular masses: a deliberate decision to take, not a tidy-up to do in passing.
#
# `abundance` is the WEIGHT `element_mass` averages with when an atom states no isotope.  Per
# element the column sums to 1.0 or is all zero -- there is no third case and `compile` refuses one.
# A published column rounded to six decimals need not: silicon's three sum to 1.000001, and the excess
# is taken off the dominant nuclide (28Si, 0.922296) rather than left for the tolerance to absorb.
# It is NOT a filter on membership: a nuclide weighted 0.0 still belongs here if we have its mass,
# because a file may state it and `element_mass` has to answer.
#
# It is NOT the natural terrestrial fraction, though for most elements it is numerically the same
# thing.  55 elements have their whole 1.0 on a single nuclide, and that group mixes two unlike
# cases: elements that really are mononuclidic (Al-27, F-19, P-31) and elements with no meaningful
# terrestrial occurrence at all, where one nuclide is given the whole weight so that the element has
# a mass at all (Tc-99, Pm-145, Rn-222, Po-210, Ts-293).  Reading a 1.0 as "100% of natural
# bromine" is right; reading it as "100% of natural technetium" is not, because there is no natural
# technetium.  That is the conventional choice and it is what makes `float(molecule)` answer for
# those elements -- but the column cannot be described as an abundance without saying so.
#
# `symbol` is redundant with elements.tsv and is here so that a human can find an element's rows by
# grepping for it.  The compile step VERIFIES it against elements.tsv rather than trusting it, so
# there is still exactly one symbol table.

z	symbol	mass_number	exact_mass	abundance
1	H	1	1.007825	0.999885
1	H	2	2.014102	0.000115
1	H	3	3.016049	0.0
2	He	3	3.016029	1e-06
2	He	4	4.002603	0.999999
3	Li	6	6.015122	0.0759
3	Li	7	7.016004	0.9241
4	Be	9	9.012182	1.0
5	B	10	10.012937	0.199
5	B	11	11.009305	0.801
6	C	11	11.011432	0.0
6	C	12	12.0	0.9893
6	C	13	13.003355	0.0107
6	C	14	14.003242	0.0
7	N	13	13.005738	0.0
7	N	14	14.003074	0.99632
7	N	15	15.000109	0.00368
8	O	15	15.003065	0.0
8	O	16	15.994915	0.99757
8	O	17	16.999132	0.00038
8	O	18	17.99916	0.00205
9	F	17	17.002095	0.0
9	F	18	18.000938	0.0
9	F	19	18.998403	1.0
10	Ne	20	19.99244	0.9048
10	Ne	21	20.993847	0.0027
10	Ne	22	21.991386	0.0925
11	Na	22	21.994437	0.0
11	Na	23	22.98977	1.0
12	Mg	24	23.985042	0.7899
12	Mg	25	24.985837	0.1
12	Mg	26	25.982593	0.1101
13	Al	27	26.981538	1.0
14	Si	28	27.976927	0.922296
14	Si	29	28.976495	0.046832
14	Si	30	29.97377	0.030872
15	P	31	30.973762	1.0
15	P	32	31.973908	0.0
15	P	33	32.971726	0.0
16	S	32	31.972071	0.9493
16	S	33	32.971458	0.0076
16	S	34	33.967867	0.0429
16	S	35	34.969032	0.0
16	S	36	35.967081	0.0002
17	Cl	35	34.968853	0.7578
17	Cl	36	35.968307	0.0
17	Cl	37	36.965903	0.2422
18	Ar	36	35.967546	0.003365
18	Ar	38	37.962732	0.000632
18	Ar	40	39.962383	0.996003
19	K	39	38.963707	0.932581
19	K	40	39.963999	0.000117
19	K	41	40.961826	0.067302
19	K	42	41.962402	0.0
20	Ca	40	39.962591	0.96941
20	Ca	42	41.958618	0.00647
20	Ca	43	42.958767	0.00135
20	Ca	44	43.955481	0.02086
20	Ca	45	44.956186	0.0
20	Ca	46	45.953693	4e-05
20	Ca	47	46.954541	0.0
20	Ca	48	47.952534	0.00187
21	Sc	44	43.959403	0.0
21	Sc	45	44.95591	1.0
22	Ti	46	45.95263	0.0825
22	Ti	47	46.951764	0.0744
