# Salt knowledge: which atoms are cations, which may take the charge, which are acidic, and which whole
# components are known species.  Read by chython/chemistry/_tables.py, applied by chython/chemistry/_salts.py.
#
# TWO COLUMNS, TWO QUESTIONS.  `match` is HOW a row is recognized; `klass` is WHAT the row is.  A pass
# selects rows by `klass`, never by `match` -- which is what makes a new class invisible to a pass that
# did not name it.
#
#   match    pattern is   recognized by
#   embed    SMARTS       embedding; the `:1` atom is the one the row is about
#   whole    SMILES       key equality against the WHOLE component
#
# Neither mechanism can express the other's question honestly: `[M;*:1]` would need 186 SMILES rows, and
# tartaric acid every hydrogen count spelled out as SMARTS.
#
#   klass             match   read by
#   metal_cation      embed   split_salts (the cation); decompose_salts, but only when the component IS
#                             that one atom -- a lone [Na+].  All 93 metals `[M]` accepts qualify.
#   charge_acceptor   embed   split_salts (the atom that keeps the electron pair)
#   protic_acid       embed   decompose_salts (the acid_salt tag), fix_salt_charges (the proton source)
#   metal_protic      embed   fix_salt_charges ONLY, and only when every free metal is s-block -- a site a
#                             reducing metal opens and no acid table calls an acid
#   the fourteen species classes  whole   decompose_salts
#
# A SPECIES ROW IS COMPARED BY `format(component, '!s')` -- the canonical SMILES with stereo disabled,
# after `thiele()` on both sides.  Stereo is out because a row names a CONSTITUTION: whether the tartrate
# is L, D or meso does not change that it is the counterion.  `thiele()` is in because the writer writes
# what is stored, so a Kekule toluene and an aromatic one are otherwise two different strings.  NOT
# `standardize()`: that is a repair the caller did not ask for, so a mis-drawn nitric acid needs
# `standardize()` first or a row of its own.
#
# A CONJUGATE IS NOT A ROW.  `decompose_salts` neutralizes before it matches, so `[Cl-]` is `Cl` and
# `CC([O-])=O` is acetic acid by the time the key is taken.  Only a species that cannot be neutral gets
# its own row: `salts:choline` is `quaternary_ammonium` and has nowhere to put the charge.
#
# A SPECIES THAT IS BOTH SOLVENT AND BASE IS TABULATED AS THE BASE.  `salts:pyridine` is `amine_base` and
# not a solvent class: as a solvent class it would read pyridine hydrochloride as hydrochloric acid, while
# as a base that record answers with both components as candidate parents, which a caller can reject.
#
# `charges` IS THE OVERCHARGE GUARD AND ONLY THE `metal_cation` ROW HAS ONE.  A cation cutting k bonds ends
# at charge+k; the row lists every value that is allowed to be, and the whole atom is refused before
# anything is cut -- all-or-nothing, never a partially split molecule.
#
# `order` IS THE ACIDITY RUNG AND ONLY A `protic_acid` OR `metal_protic` ROW HAS ONE.  Low is more acidic;
# rows sharing a value are tied, and a tie is resolved by canonical order and logged rather than by file
# position.  ONE SCALE FOR BOTH CLASSES, because `fix_salt_charges` ranks them in one pool: a carboxylic
# acid beside an alcohol and one sodium gives the carboxylate, rung 4 against rung 6.
#
# WATER AND ALCOHOL ARE NOT ACIDS, THEY ARE WHAT A FREE S-BLOCK METAL REDUCES.  `CCN.CCO` is a mixture and
# `CCO` is no acid site, so `decompose_salts` reads neither as a salt and a hydrate stays droppable;
# `CCO.[Na]` is sodium ethoxide, because sodium does not stand beside a hydroxyl.  That distinction is the
# whole of `metal_protic`.  Beryllium is the one s-block metal outside it, not reducing water.
#
# EVERY AZOLE BUT TETRAZOLE IS ABSENT.  Below sulfonamide's rung an N-H needs a hydride or an
# organolithium, and a metal drawn beside one is reagent chemistry.  An acid with no row refuses, logs, and
# surfaces as a `charges_undrawn` tag -- the count of those refusals is what would justify a row.
#
# There is no `elements` column: `pattern` already names the elements a row applies to, and `keep=['Na']` is
# resolved against the MOLECULE's atoms.
id	match	klass	pattern	charges	order	comment
# --- cations -------------------------------------------------------------------------------------- #
salts:metal	embed	metal_cation	[M;*:1]	1;2;3;4	-	any of the 93 metals `[M]` accepts, at any charge.  Generality is safe because every bond is cut or none is: see _salts.py
# --- charge acceptors: the atom that keeps the electron pair when a cation lets go ---------------- #
salts:oxo-acid	embed	charge_acceptor	[O,S,Se;D2;z1:1]-[C,N,P,S,Cl,Se,Br,I,Si]=O	-	-	carboxylate, sulfonate, phosphate, perchlorate and their S/Se analogues
salts:thiophosphate	embed	charge_acceptor	[O,S,Se;D2;z1:1]-[P]=[S,Se]	-	-	thio- and selenophosphate, which the oxo-acid row misses for want of a `=O`
salts:phenolate	embed	charge_acceptor	[O,S,Se;D2;z1:1]-[C,N;a]	-	-	phenolate, thiophenolate, N-hydroxy azole
salts:nitrate	embed	charge_acceptor	[O;D2;z1:1]-[N+](-[O-])=O	-	-	nitrate, drawn charge-separated as standardize() leaves it
salts:halide-hydroxide	embed	charge_acceptor	[O,F,Cl,Br,I;D1;z1:1]	-	-	a terminal halogen or oxygen: halide, hydroxide, alkoxide
salts:alkoxide	embed	charge_acceptor	[O,S,Se;D2;z1:1](-[C,Si;z1])-[M]	-	-	alkoxide, thiolate, silanolate drawn with the metal bonded.  The `[M]` is the row: without it the pattern is true of diethyl ether
# --- acidic sites: which hydrogen a metal may take, most acidic first ----------------------------- #
salts:sulfonic-oh	embed	protic_acid	[O;D1;z1;h1:1]-[S;z5](=O)=O	-	1	sulfonic and sulfuric acid
salts:oxo-acid-oh	embed	protic_acid	[O;D1;z1;h1:1]-[N,P,Cl,Br,I]=O	-	2	phosphoric, phosphonic, nitrous, perchloric
salts:nitric-oh	embed	protic_acid	[O;D1;z1;h1:1]-[N+,P+,Cl+,Br+,I+]-[O-]	-	2	nitric, drawn charge-separated as standardize() leaves it
salts:acyl-sulfonamide	embed	protic_acid	[N;D2;z1;h1:1](-[C;z2]=O)-[S;z5](=O)=O	-	2	acyl sulfonamide: saccharin
salts:sulfinic-oh	embed	protic_acid	[O;D1;z1;h1:1]-[S;z2]=O	-	2	sulfinic acid.  The sulfonic row above is `z5`, which this S is not
salts:thio-acid-sh	embed	protic_acid	[S;D1;z1;h1:1]-[C;z2]=[O,S]	-	2	thioacid, dithioacid, xanthic acid, dithiocarbamic acid.  Thioacetic acid is a rung optimistic here, which costs a tie broken the wrong way when one component holds two sites
salts:hydrogen-halide	embed	protic_acid	[F,Cl,Br,I;D0;h1:1]	-	3	HF HCl HBr HI: the unbonded halogen holding its hydrogen
salts:carboxylic-oh	embed	protic_acid	[O;D1;z1;h1:1]-[C;z2]=O	-	4	carboxylic acid
salts:tetrazole-1h	embed	protic_acid	[nH;r5:1]:1:n:n:n:c:1	-	4	tetrazole 1H, the carboxylic-acid bioisostere
salts:tetrazole-2h	embed	protic_acid	n:1:[nH;r5:1]:n:n:c:1	-	4	tetrazole 2H: standardize() converges no mobile hydrogen, so both tautomers get a row
salts:thiophenol-sh	embed	protic_acid	[S;D1;z1;h1:1]-[C,N;a]	-	4	thiophenol
salts:phenol-oh	embed	protic_acid	[O;D1;z1;h1:1]-[C,N;a]	-	5	phenol, N-hydroxy azole
salts:imide	embed	protic_acid	[N;D2;z1;h1:1](-[C;z2]=O)-[C;z2]=O	-	5	imide: phenytoin, succinimide
salts:sulfonamide	embed	protic_acid	[N;z1;h1,h2:1]-[S;z5](=O)=O	-	5	sulfonamide, tosylamide
salts:thiol-sh	embed	protic_acid	[S;D1;z1;h1:1]-[C;z1]	-	5	thiol
# --- sites only an s-block metal opens, on the same rung scale ------------------------------------ #
salts:water-oh	embed	metal_protic	[O;D0;z1;h2:1]	-	6	water
salts:alcohol-oh	embed	metal_protic	[O;D1;z1;h1:1]-[C,Si;z1]	-	6	alcohol, silanol.  `D1` and `z1`, so a phenol, a carboxylic acid and an ether are each somebody else's row or nobody's
# --- species: the acids --------------------------------------------------------------------------- #
salts:hf	whole	mineral_acid	F	-	-	hydrofluoric
salts:hcl	whole	mineral_acid	Cl	-	-	hydrochloric
salts:hbr	whole	mineral_acid	Br	-	-	hydrobromic
salts:hi	whole	mineral_acid	I	-	-	hydroiodic
salts:hno3	whole	mineral_acid	O[N+](=O)[O-]	-	-	nitric
salts:hno2	whole	mineral_acid	ON=O	-	-	nitrous
salts:h3po4	whole	mineral_acid	OP(O)(O)=O	-	-	phosphoric
salts:dimethyl-phosphate	whole	mineral_acid	COP(O)(=O)OC	-	-	dimethyl phosphate
salts:h2so4	whole	mineral_acid	OS(O)(=O)=O	-	-	sulfuric
salts:mesylic	whole	sulfonic_acid	CS(O)(=O)=O	-	-	methanesulfonic
salts:triflic	whole	sulfonic_acid	OS(=O)(=O)C(F)(F)F	-	-	trifluoromethanesulfonic
salts:tosylic	whole	sulfonic_acid	CC1=CC=C(C=C1)S(O)(=O)=O	-	-	p-toluenesulfonic
salts:h2co3	whole	mineral_acid	OC(O)=O	-	-	carbonic
salts:formic	whole	short_carboxylic_acid	OC=O	-	-	formic
salts:acetic	whole	short_carboxylic_acid	CC(O)=O	-	-	acetic
salts:tfa	whole	short_carboxylic_acid	OC(=O)C(F)(F)F	-	-	trifluoroacetic
salts:glycolic	whole	short_carboxylic_acid	OCC(O)=O	-	-	glycolic
salts:lactic	whole	carboxylic_acid	CC(O)C(O)=O	-	-	lactic
salts:oxalic	whole	short_carboxylic_acid	OC(=O)C(O)=O	-	-	oxalic
salts:dichloroacetic	whole	short_carboxylic_acid	OC(=O)C(Cl)Cl	-	-	dichloroacetic
salts:maleic	whole	carboxylic_acid	OC(=O)C=CC(O)=O	-	-	maleic and fumaric -- one row, the key being taken with stereo disabled
salts:tartaric	whole	carboxylic_acid	OC(C(O)C(O)=O)C(O)=O	-	-	tartaric, any stereoisomer, for the same reason
salts:hclo4	whole	mineral_acid	O[Cl](=O)(=O)=O	-	-	perchloric
salts:citric	whole	carboxylic_acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	-	-	citric
salts:succinic	whole	carboxylic_acid	OC(=O)CCC(O)=O	-	-	succinic
salts:malic	whole	carboxylic_acid	OC(CC(O)=O)C(O)=O	-	-	malic, any stereoisomer
salts:malonic	whole	carboxylic_acid	OC(=O)CC(O)=O	-	-	malonic
salts:glutaric	whole	carboxylic_acid	OC(=O)CCCC(O)=O	-	-	glutaric
salts:adipic	whole	carboxylic_acid	OC(=O)CCCCC(O)=O	-	-	adipic
salts:sebacic	whole	carboxylic_acid	OC(=O)CCCCCCCCC(O)=O	-	-	sebacic
salts:mucic	whole	carboxylic_acid	OC(=O)C(O)C(O)C(O)C(O)C(O)=O	-	-	galactaric (mucic)
