# The valence rule collection.  THIS FILE IS THE AUTHORITY; the C tables in _valence.pxi are
# compiled from it by `python chython/core/test/gen_valence_rules.py compile`.
#
# It answers a question about a MOLECULE -- is this a valence state chemistry is known to allow,
# and how many hydrogens does it come with.  It is a collection of states that have been
# observed, not a theory: it is neither complete nor ideal, it exists to catch bad input, and it
# improves by adding rows with evidence behind them.  Nothing in chython may REJECT a structure
# because of a verdict from this file.
#
# It is NOT the model that decides how many hydrogens a bracketless SMILES atom implies.  That is
# a question about a notation, its authority is the OpenSMILES specification, and it lives in the
# SMILES layer.  The two disagree on purpose -- a bare `S` with six single-bonded carbons is
# legal SMILES implying zero hydrogens, and has no row here.  Merging them breaks both
# directions; a test in each suite fails if anyone tries.
#
# ROW ORDER IS SEMANTICS, NOT COSMETICS.  Several rows can describe one `(element, charge,
# radical, bonds)` key, and "how many hydrogens" answers with the FIRST of them that matches the
# neighbourhood.  Rows are therefore stored in scan order: by key, and within a key `env=*` rows
# before the rest.  `compile` reorders the file if it is not, and a test fails if a commit lands
# it out of order.  Fifteen keys in the shipped data give different answers under a different
# order, so this is load-bearing -- see test_row_order_within_a_key_is_observable.
#
# WHEN YOU ADD A ROW: an `env=*` row is consulted before every row with an environment at the
# same key, so it will shadow them for the hydrogen count.  If you mean "only when X is present",
# give it an environment.  "Is this legal" is unaffected -- that question accepts any matching
# row, which is why the two are not each other's inverse.
#
# That ordering is also what lets the hydrogen count be precomputed into a dense table instead of
# searched for, so `compile` refuses a file that breaks it, and refuses a row whose bonds, charge
# or element leaves the extents the dense table covers (bonds 0..8, charge -4..4).  Widening those
# is a one-line change in `gen_valence_rules.py`; it is guarded because it is a size change nobody
# would otherwise notice.
#
# ALUMINIUM'S ROWS ARE NOT OUT OF ORDER -- DO NOT "FIX" THEM.  Nine elements carry both a hydride
# ladder and a bare-atom row at one key.  Eight put the hydride first, so `[C]` is methane; Al puts
# the bare atom first, which makes its ladder read as self-contradictory (nothing on it: 0 H, one
# carbon on it: 2 H).  The difference is that Al is a METAL: a lone Al in a connectivity file is the
# metal or its ion, while a substituted Al is an organoaluminium, where the hydride is ordinary and
# load-bearing -- DIBAL-H is a two-coordinate aluminium with one.  A notation that means alane can
# say so and is believed (`[AlH3]`); a file that states nothing is stating a metal.  Both readings
# stay legal either way -- only the derived default differs, which is why this is an ordering
# question at all.  Pinned by test_a_LONE_metal_is_the_metal_and_only_a_SUBSTITUTED_one_takes_hydrides.
#
# The same convention is why As Sb Ga In Tl Sn Pb Bi Po At have NO neutral hydride ladder: their
# bare rows are metals, and a partially substituted one returns *unknown* rather than a guess, which
# is reported and honest.  Filling those in needs a per-element valence default, and for exactly
# these elements there are two -- R2Sn is a stannylene or R2SnH2, R-Tl is Tl(I) or Tl(III) -- so a
# first-matching row there invents a compound.  Evidence first; this is not a gap to close by hand.
#
# Do not hand-edit `common` or `curated` rows: they are derived from chython 2 and a test
# re-derives them.  Re-run `derive`, or add a row with a new provenance.

element	charge	radical	bonds	implicit_h	env	provenance
H	-1	0	0	0	*	curated
H	0	0	1	0	*	common
H	0	1	0	0	*	curated
H	1	0	0	0	*	curated
He	0	0	0	0	*	common
Li	0	0	0	0	*	common
Li	0	0	1	0	*	common
Li	1	0	0	0	*	curated
Be	0	0	0	0	*	common
Be	0	0	2	0	*	common
Be	2	0	0	0	*	curated
B	-1	0	0	4	*	curated
B	-1	0	1	3	*	curated
B	-1	0	2	2	*	curated
B	-1	0	3	1	*	curated
B	-1	0	4	0	*	curated
B	0	0	0	3	*	common
B	0	0	0	0	*	curated
B	0	0	1	2	*	common
B	0	0	2	1	*	common
B	0	0	3	0	*	common
B	0	1	0	2	*	curated
B	0	1	1	1	*	curated
B	0	1	2	0	*	curated
C	-1	0	0	3	*	curated
C	-1	0	1	2	*	curated
C	-1	0	2	1	*	curated
C	-1	0	3	0	*	curated
C	0	0	0	4	*	common
C	0	0	0	0	*	curated
C	0	0	1	3	*	common
C	0	0	2	2	*	common
C	0	0	3	1	*	common
C	0	0	4	0	*	common
C	0	1	0	3	*	curated
C	0	1	1	2	*	curated
C	0	1	2	1	*	curated
C	0	1	3	0	*	curated
C	1	0	0	3	*	curated
C	1	0	1	2	*	curated
C	1	0	2	1	*	curated
C	1	0	3	0	*	curated
N	-1	0	0	2	*	curated
N	-1	0	1	1	*	curated
N	-1	0	2	0	*	curated
N	0	0	0	3	*	common
N	0	0	1	2	*	common
N	0	0	2	1	*	common
N	0	0	3	0	*	common
N	0	1	0	2	*	curated
N	0	1	1	1	*	curated
N	0	1	2	0	*	curated
N	1	0	0	4	*	curated
N	1	0	1	3	*	curated
N	1	0	2	2	*	curated
N	1	0	3	1	*	curated
N	1	0	4	0	*	curated
O	-2	0	0	0	*	curated
O	-1	0	0	1	*	curated
O	-1	0	1	0	*	curated
O	0	0	0	2	*	common
O	0	0	1	1	*	common
O	0	0	2	0	*	common
O	0	1	0	1	*	curated
O	0	1	1	0	*	curated
O	1	0	0	3	*	curated
O	1	0	1	2	*	curated
O	1	0	2	1	*	curated
O	1	0	3	0	*	curated
F	-1	0	0	0	*	curated
F	0	0	0	1	*	common
F	0	0	1	0	*	common
Ne	0	0	0	0	*	common
Na	0	0	0	0	*	common
Na	0	0	1	0	*	common
Na	1	0	0	0	*	curated
Mg	0	0	0	0	*	common
Mg	0	0	2	0	*	common
Mg	1	0	1	0	-C	curated
Mg	1	0	1	0	-O	curated
Mg	1	0	1	0	-Br	curated
Mg	1	0	1	0	-Cl	curated
Mg	2	0	0	0	*	curated
Al	-3	0	6	0	-F -F -F -F -F -F	curated
Al	-1	0	0	4	*	curated
Al	-1	0	1	3	*	curated
Al	-1	0	2	2	*	curated
Al	-1	0	3	1	*	curated
Al	-1	0	4	0	*	curated
Al	0	0	0	0	*	common
Al	0	0	0	3	*	curated
Al	0	0	1	2	*	curated
Al	0	0	2	1	*	curated
Al	0	0	3	0	*	curated
Al	1	0	0	2	*	curated
Al	1	0	1	1	*	curated
Al	1	0	2	0	*	curated
Al	2	0	0	1	*	curated
