# maccs_corpus.tsv -- the acceptance corpus for tables/maccs.tsv.  ONE `set` row and ONE `unset` row
# for each of the 165 keys that have a published definition; key 44 has none and therefore has no row.
#
# THIS FILE IS THE ORACLE.  every expectation is read off the published key description by hand.  no
# other implementation is consulted and none may be: a bit that differs from another toolkit's is a
# documented difference, not a failure of this table.
#
# THE `unset` ROW IS THE ONE THAT EARNS ITS KEEP.  a mis-transcribed key still parses and still matches
# something, so a `set` row alone proves little.  each `unset` molecule is a NEAR MISS -- one bond order,
# one hydrogen or one chain atom away from setting the key -- so that a pattern loosened by a slip fails
# here.  every structure is a public compound.
key	expectation	smiles	name
1	set	[13CH4]	carbon-13 methane
1	unset	C	methane
2	set	[Db]	dubnium
2	unset	[U]	uranium
3	set	C[Se]C	dimethyl selenide
3	unset	CSC	dimethyl sulfide
4	set	[U]	uranium
4	unset	[Nd]	neodymium
5	set	[Ti]	titanium
5	unset	[V]	vanadium
6	set	[Nd]	neodymium
6	unset	[Y]	yttrium
7	set	[Mn]	manganese
7	unset	[Fe]	iron
8	set	C1CNC1	azetidine
8	unset	C1CCC1	cyclobutane
9	set	[Fe]	iron
9	unset	[Mn]	manganese
10	set	[Ca]	calcium
10	unset	[Na]	sodium
11	set	C1CCC1	cyclobutane
11	unset	C1CCCC1	cyclopentane
12	set	[Zn]	zinc
12	unset	[Fe]	iron
13	set	C[N+](C)(C)[O-]	trimethylamine N-oxide
13	unset	CN(C)C	trimethylamine
14	set	CSSC	dimethyl disulfide
14	unset	CSC	dimethyl sulfide
15	set	COC(=O)OC	dimethyl carbonate
15	unset	COC	dimethyl ether
16	set	C1CN1	aziridine
16	unset	C1CC1	cyclopropane
17	set	CC#CC	2-butyne
17	unset	CC#N	acetonitrile
18	set	OB(O)O	boric acid
18	unset	CCO	ethanol
19	set	C1CCCCCC1	cycloheptane
19	unset	C1CCCCC1	cyclohexane
20	set	C[Si](C)(C)C	tetramethylsilane
20	unset	CC(C)(C)C	neopentane
21	set	C=C(Cl)Cl	1,1-dichloroethylene
21	unset	C=CCl	vinyl chloride
22	set	C1CC1	cyclopropane
22	unset	C1CCC1	cyclobutane
23	set	NC(=O)OC	methyl carbamate
23	unset	CC(=O)OC	methyl acetate
24	set	NO	hydroxylamine
24	unset	CN	methylamine
25	set	NC(N)=N	guanidine
25	unset	NC(N)=O	urea
26	set	C1CCC2=C(C1)CCCC2	1,2,3,4,5,6,7,8-octahydronaphthalene
26	unset	C1CCC=CC1	cyclohexene
27	set	CI	iodomethane
27	unset	CBr	bromomethane
28	set	COCOC	dimethoxymethane
28	unset	CCOCC	diethyl ether
29	set	COP(=O)(OC)OC	trimethyl phosphate
29	unset	COS(=O)(=O)OC	dimethyl sulfate
30	set	C[N+](C)(C)C	tetramethylammonium
30	unset	CN(C)C	trimethylamine
31	set	ClS(Cl)(=O)=O	sulfuryl chloride
31	unset	CCl	chloromethane
32	set	CS(=O)(=O)N	methanesulfonamide
32	unset	CSC	dimethyl sulfide
33	set	CS(=O)(=O)N	methanesulfonamide
33	unset	CS(C)=O	dimethyl sulfoxide
34	set	C=C	ethylene
34	unset	CC=CC	2-butene
35	set	CC(=O)[O-].[Na+]	sodium acetate
35	unset	CC(=O)O	acetic acid
36	set	c1ccsc1	thiophene
36	unset	CSc1ccccc1	thioanisole
37	set	NC(N)=O	urea
37	unset	CC(N)=O	acetamide
38	set	CC(N)=N	acetamidine
38	unset	CC(N)=O	acetamide
39	set	COS(=O)(=O)OC	dimethyl sulfate
39	unset	CS(C)=O	dimethyl sulfoxide
40	set	CS(=O)(=O)O	methanesulfonic acid
40	unset	CS(C)=O	dimethyl sulfoxide
41	set	CC#N	acetonitrile
41	unset	CC#CC	2-butyne
42	set	CF	fluoromethane
42	unset	CCl	chloromethane
43	set	NS(=O)(=O)O	sulfamic acid
43	unset	CS(=O)(=O)N	methanesulfonamide
45	set	C=CN(C)C	N,N-dimethylvinylamine
45	unset	CC=C	propene
46	set	CBr	bromomethane
46	unset	CCl	chloromethane
47	set	c1cscn1	thiazole
47	unset	c1ccsc1	thiophene
48	set	COS(=O)(=O)OC	dimethyl sulfate
48	unset	CS(C)=O	dimethyl sulfoxide
49	set	CC(=O)[O-].[Na+]	sodium acetate
49	unset	CC(=O)O	acetic acid
50	set	CC(C)=C	isobutylene
50	unset	CC=C	propene
51	set	CS(C)=O	dimethyl sulfoxide
51	unset	CSC	dimethyl sulfide
52	set	NN	hydrazine
52	unset	CN	methylamine
53	set	OCCCO	1,3-propanediol
53	unset	OCCO	ethylene glycol
54	set	OCCO	ethylene glycol
54	unset	OCCCO	1,3-propanediol
55	set	CS(=O)(=O)O	methanesulfonic acid
55	unset	CS(C)=O	dimethyl sulfoxide
56	set	C[N+](=O)[O-]	nitromethane
56	unset	CNO	N-methylhydroxylamine
57	set	C1CCOC1	tetrahydrofuran
57	unset	CCOCC	diethyl ether
58	set	CS(=O)(=O)N	methanesulfonamide
58	unset	CSC	dimethyl sulfide
59	set	CSc1ccccc1	thioanisole
59	unset	c1ccsc1	thiophene
60	set	CS(C)=O	dimethyl sulfoxide
60	unset	CSC	dimethyl sulfide
61	set	CS(C)=O	dimethyl sulfoxide
61	unset	CSC	dimethyl sulfide
62	set	c1ccc(-c2ccccc2)cc1	biphenyl
62	unset	c1ccc2ccccc2c1	naphthalene
63	set	[O-][N+](=O)c1ccccc1	nitrobenzene
63	unset	Nc1ccccc1	aniline
64	set	CSc1ccccc1	thioanisole
64	unset	c1ccsc1	thiophene
65	set	c1ccncc1	pyridine
65	unset	CC#N	acetonitrile
66	set	CC(C)(C)C	neopentane
66	unset	CC(C)C	isobutane
