# Single-bond covalent radii in Angstroms, one row per element, from the crystallographic survey of
# Cordero et al., Dalton Trans. 2008, 2832.  A 3d element whose radius is spin-state dependent takes
# the low-spin value.  The survey covers Z 1..96 and this table states no radius past it: an element
# with no row gets no perceived bond and `perceive_bonds` records the shortfall.
#
# NOT `atomic_radius`, which the core compiles from `core/elements.tsv`.  That column is the
# calculated (SCF) radius of the free atom -- 0.48 A for oxygen against 0.66 A here -- and their sums
# do not reach a peroxide's 1.475 A O-O bond at any multiplier a hydrogen-bonded pair survives.
# Bond perception reads THIS table; a mass, a size or a drawing reads that one.
#
# `chython/chemistry/test/test_covalent_radii_tsv.py` probes the table with measured bond lengths and
# measured nonbonded contacts, so a wrong digit that changes an answer fails there.
z	symbol	radius
1	H	0.31
2	He	0.28
3	Li	1.28
4	Be	0.96
5	B	0.84
6	C	0.76
7	N	0.71
8	O	0.66
9	F	0.57
10	Ne	0.58
11	Na	1.66
12	Mg	1.41
13	Al	1.21
14	Si	1.11
15	P	1.07
16	S	1.05
17	Cl	1.02
18	Ar	1.06
19	K	2.03
20	Ca	1.76
21	Sc	1.70
22	Ti	1.60
23	V	1.53
24	Cr	1.39
25	Mn	1.39
26	Fe	1.32
27	Co	1.26
28	Ni	1.24
29	Cu	1.32
30	Zn	1.22
31	Ga	1.22
32	Ge	1.20
33	As	1.19
34	Se	1.20
35	Br	1.20
36	Kr	1.16
37	Rb	2.20
38	Sr	1.95
39	Y	1.90
40	Zr	1.75
41	Nb	1.64
42	Mo	1.54
43	Tc	1.47
44	Ru	1.46
45	Rh	1.42
46	Pd	1.39
47	Ag	1.45
48	Cd	1.44
49	In	1.42
50	Sn	1.39
51	Sb	1.39
52	Te	1.38
53	I	1.39
54	Xe	1.40
55	Cs	2.44
56	Ba	2.15
57	La	2.07
58	Ce	2.04
59	Pr	2.03
60	Nd	2.01
61	Pm	1.99
62	Sm	1.98
63	Eu	1.98
64	Gd	1.96
65	Tb	1.94
66	Dy	1.92
67	Ho	1.92
68	Er	1.89
69	Tm	1.90
70	Yb	1.87
71	Lu	1.87
72	Hf	1.75
73	Ta	1.70
74	W	1.62
75	Re	1.51
76	Os	1.44
77	Ir	1.41
78	Pt	1.36
79	Au	1.36
80	Hg	1.32
81	Tl	1.45
82	Pb	1.46
83	Bi	1.48
84	Po	1.40
85	At	1.50
86	Rn	1.50
87	Fr	2.60
88	Ra	2.21
89	Ac	2.15
90	Th	2.06
91	Pa	2.00
92	U	1.96
93	Np	1.90
94	Pu	1.87
95	Am	1.80
96	Cm	1.69
