# Protecting groups: what to look for, and what the molecule looks like once it is gone.
#
# EVERY ROW IS A SMIRKS ROW, and there is no separate list of atoms to keep or to add: `read_smirks`
# deletes a reactant atom whose map number the product side does not mention, and builds a product atom
# written without a map number.  So a deprotection goes through exactly the code path a reaction goes
# through, and the two cannot disagree about what a pattern means.
#
# COLUMNS
#   name        the chemist's shorthand, `<what it protects>_<the group>`.  `deprotect()` selects by it.
#   protects    hydroxyl | diol | amine | thiol | carbonyl | carboxyl, comma-joined when a row reveals
#               two things at once.  Checked against the kept atoms' elements by test_protective.py, so
#               it is a claim the table verifies rather than a label.
#   smarts      the reactant side: the protected group, with `:1` on the atom being unmasked (and
#               `:2`.. on the others a multi-atom keep needs).
#   product     the patch.  Usually `[A:1]` -- keep that one atom, delete everything else.  A row that
#               keeps several atoms must RESTATE EVERY BOND BETWEEN THEM: a reactant bond whose two
#               endpoints both survive is deleted unless the product side says it again, so `[A:1][A:2]`
#               on a four-atom keep hands back fragments.
#   protected   a worked example this row must match.
#   cleaved     what it must turn `protected` into.  The pair is an acceptance test, not a comment.
#   decoys      SMILES this row must NOT match, comma-joined.  Where a pattern was widened once and
#               went too far, the thing it wrongly caught lives here.
#
# THE EXAMPLES ARE WRITTEN AROMATIZED AND STANDARDIZED, because the queries are: a pattern saying
# `[C;a]:[C;a]` does not match a ring spelled `C1=CC=C...`, and one saying `[N+](=O)[O-]` does not match a
# neutral nitro.  The same fact stated forwards for a caller: `deprotect()` sees an aromatic protecting
# group only after `thiele()` has run, because that is when the molecule acquires the aromatic bonds the
# query asks for.
#
# ORDER IN THIS FILE DOES NOT MATTER.  The loader sorts by reactant atom count descending, so the more
# specific pattern always gets the site first -- `hydroxyl_tbu` matches the tert-butyl half of a Boc and
# would strip it to a carbonate if it got there first -- and a row may be added anywhere.  Two rows of
# equal size fall back to this order.
#
id	name	protects	smarts	product	protected	cleaved	decoys	description
1	hydroxyl_thiocarbamate	hydroxyl	[O;D2:1]-;!@[C;x3;z2](=[S;D1])[N;D3;x0]([C;D1])[C;D1]	[A:1]	S=C(OC(C)C)N(C)C	C(C)(O)C		N,N-dimethylthiocarbamate, revealing an alcohol
2	hydroxyl_fmoc	hydroxyl	[O;D2:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;x1;z1][C;D3;z1;x0;r5]1[C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D3]:2-[C;a;r6]:3:[C;D2]:[C;D2]:[C;D2]:[C;D2]:C1:3	[A:1]	c1cc2-c3ccccc3C(c2cc1)COC(=O)OC(C)C	C(C)(O)C		9-fluorenylmethyloxycarbonyl, revealing an alcohol
3	hydroxyl_troc	hydroxyl	[O;D2:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2][C;D4;x3]([Cl;D1])([Cl;D1])[Cl;D1]	[A:1]	O(C(OC(C)C)=O)CC(Cl)(Cl)Cl	C(C)(O)C		2,2,2-trichloroethoxycarbonyl, revealing an alcohol
4	hydroxyl_teoc	hydroxyl	[O;D2:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;z1;x1][C;D2;x1;z1][Si;D4;z1;x0]([C;D1])([C;D1])[C;D1]	[A:1]	O(C(OC(C)C)=O)CC[Si](C)(C)C	C(C)(O)C		2-(trimethylsilyl)ethoxycarbonyl, revealing an alcohol
5	hydroxyl_alloc	hydroxyl	[O;D2:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;z1;x1][C;D2;x0;z2]=[C;D1]	[A:1]	O(CC=C)C(OC(C)C)=O	C(C)(O)C		allyloxycarbonyl, revealing an alcohol
6	hydroxyl_tms	hydroxyl	[O;D2:1]-;!@[Si;D4;z1;x1]([C;D1])([C;D1])[C;D1]	[A:1]	CC(O[Si](C)(C)C)C	C(C)(O)C	CC(O[SiH](C)C)C,CC(O[Si](C)(OC)C)C,O([Si](CC)(C)C)C(C)C	trimethylsilyl, revealing an alcohol
7	hydroxyl_tes	hydroxyl	[O;D2:1]-;!@[Si;D4;z1;x1]([C;D2;x1;z1][C;D1])([C;D2;x1;z1][C;D1])[C;D2;x1;z1][C;D1]	[A:1]	C([Si](OC(C)C)(CC)CC)C	C(C)(O)C	CC(O[SiH](C)C)C,CC(O[Si](C)(OC)C)C	triethylsilyl, revealing an alcohol
8	hydroxyl_tbs	hydroxyl	[O;D2:1]-;!@[Si;D4;z1;x1]([C;D1])([C;D1])[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	CC(O[Si](C)(C(C)(C)C)C)C	C(C)(O)C	CC(O[SiH](C)C)C,CC(O[Si](C)(OC)C)C	tert-butyldimethylsilyl, revealing an alcohol
9	hydroxyl_tips	hydroxyl	[O;D2:1]-;!@[Si;D4;z1;x1]([C;D3;z1;x1]([C;D1])[C;D1])([C;D3;z1;x1]([C;D1])[C;D1])[C;D3;z1;x1]([C;D1])[C;D1]	[A:1]	O([Si](C(C)C)(C(C)C)C(C)C)C(C)C	C(C)(O)C	CC(O[SiH](C)C)C,CC(O[Si](C)(OC)C)C	triisopropylsilyl, revealing an alcohol
10	hydroxyl_tbdps	hydroxyl	[O;D2:1]-;!@[Si;D4;z1;x1]([C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)([C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	c1ccc(cc1)[Si](c1ccccc1)(C(C)(C)C)OC(C)C	C(C)(O)C	CC(O[SiH](C)C)C,c1cc([Si](c2ccccc2)(C(C)(C)C)OC(C)C)ccc1C	tert-butyldiphenylsilyl, revealing an alcohol
11	hydroxyl_o_nitrobenzyl	hydroxyl	[O;D2:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D3;x1]([N+](=O)[O-]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1ccc(COC(C)C)c([N+](=O)[O-])c1	C(C)(O)C	[O-][N+](=O)c1c(C(OC(C)C)OC)cccc1	ortho-nitrobenzyl, revealing an alcohol
12	hydroxyl_methoxy_benzyl	hydroxyl	[O;D2:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[A:1]	O(Cc1ccc(OC)cc1)C(C)C	C(C)(O)C	CCOc1ccc(COC(C)C)cc1,O(c1cccc(COC(C)C)c1)C	4-methoxybenzyl (PMB), revealing an alcohol
13	hydroxyl_dimethoxybenzyl	hydroxyl	[O;D2:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[A:1]	c1cc(COC(C)C)c(OC)cc1OC	C(C)(O)C		2,4-dimethoxybenzyl (DMB), revealing an alcohol
14	hydroxyl_naphthyl	hydroxyl	[O;D2:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D3]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D3]:2:[C;D2]:[C;D2]:1	[A:1]	c1c2ccccc2ccc1COC(C)C	C(C)(O)C	c1(ccccc1)COC(C)C	2-naphthylmethyl, revealing an alcohol
15	hydroxyl_bom	hydroxyl	[O;D2:1]-;!@[C;D2;x2;z1][O;D2;x0][C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1cccc(COCOC(C)C)c1	C(C)(O)C		benzyloxymethyl, revealing an alcohol
16	hydroxyl_piv	hydroxyl	[O;D2:1]-;!@[C;z2;x2](=O)-[C;D4;x0;z1]([C;D1])([C;D1])[C;D1]	[A:1]	CC(OC(C(C)(C)C)=O)C	C(C)(O)C		pivaloyl, revealing an alcohol
17	hydroxyl_methoxy_benzoate	hydroxyl	[O;D2:1]-;!@[C;z2;x2](=O)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[A:1]	COc1ccc(C(OC(C)C)=O)cc1	C(C)(O)C	O=C(OC(C)C)c1ccccc1	4-methoxybenzoyl (anisoyl), revealing an alcohol
18	hydroxyl_benzoate	hydroxyl	[O;D2:1]-;!@[C;z2;x2](=O)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	O=C(OC(C)C)c1ccccc1	C(C)(O)C	COc1ccc(C(OC(C)C)=O)cc1	benzoyl, revealing an alcohol
19	hydroxyl_tfa	hydroxyl	[O;D2:1]-;!@[C;z2;x2](=O)-[C;D4;z1;x3](F)(F)F	[A:1]	FC(C(OC(C)C)=O)(F)F	C(C)(O)C		trifluoroacetyl, revealing an alcohol
20	hydroxyl_mom	hydroxyl	[O;D2:1]-;!@[C;D2;x2;z1][O;D2;x0][C;D1]	[A:1]	C(OC(C)C)OC	C(C)(O)C	CC(OC)OC(C)C	methoxymethyl, revealing an alcohol
21	hydroxyl_mem	hydroxyl	[O;D2:1]-;!@[C;D2;x2;z1][O;D2;x0][C;D2;z1;x1][C;D2;z1;x1][O;D2;x0][C;D1]	[A:1]	O(CCOCOC(C)C)C	C(C)(O)C		2-methoxyethoxymethyl, revealing an alcohol
22	hydroxyl_thp	hydroxyl	[O;D2:1]-;!@[C;D3;x2;z1;r6]1[O;D2][C;D2][C;D2][C;D2][C;D2]1	[A:1]	C1CCCC(OC(C)C)O1	C(C)(O)C		tetrahydropyranyl, revealing an alcohol
23	hydroxyl_ee	hydroxyl	[O;D2:1]-;!@[C;D3;x2;z1]([O;D2;x0][C;D2;x1;z1][C;D1])[C;D1]	[A:1]	O(CC)C(C)OC(C)C	C(C)(O)C	C(C)OC(OC(C)C)CC	1-ethoxyethyl, revealing an alcohol
24	hydroxyl_mop	hydroxyl	[O;D2:1]-;!@[C;D4;x2;z1]([O;D2;x0][C;D1])([C;D1])[C;D1]	[A:1]	C(OC(C)C)(OC)(C)C	C(C)(O)C		2-methoxyprop-2-yl, revealing an alcohol
25	hydroxyl_sem	hydroxyl	[O;D2:1]-;!@[C;D2;x2;z1][O;D2;x0][C;D2;z1;x1][C;D2;z1;x1][Si;D4;z1;x0]([C;D1])([C;D1])[C;D1]	[A:1]	C(C[Si](C)(C)C)OCOC(C)C	C(C)(O)C		2-(trimethylsilyl)ethoxymethyl, revealing an alcohol
26	hydroxyl_tritil	hydroxyl	[O;D2:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1ccccc1C(OC(C)C)(c1ccccc1)c1ccccc1	C(C)(O)C	c1cccc(C(c2ccc(OC)cc2)(c2ccc(cc2)OC)OC(C)C)c1	triphenylmethyl (trityl), revealing an alcohol
27	hydroxyl_dimetoxy_tritil	hydroxyl	[O;D2:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1cccc(C(c2ccc(OC)cc2)(c2ccc(cc2)OC)OC(C)C)c1	C(C)(O)C	c1ccccc1C(OC(C)C)(c1ccccc1)c1ccccc1	4,4′-dimethoxytrityl (DMT), revealing an alcohol
28	hydroxyl_chloro_tritil	hydroxyl	[O;D2:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D3;x1]([Cl;D1]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	C(C)(OC(c1ccccc1)(c1ccccc1Cl)c1ccccc1)C	C(C)(O)C		2-chlorotrityl, revealing an alcohol
29	hydroxyl_mmt	hydroxyl	[O;D2:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1c(OC)ccc(C(c2ccccc2)(OC(C)C)c2ccccc2)c1	C(C)(O)C	c1ccccc1C(OC(C)C)(c1ccccc1)c1ccccc1	4-methoxytrityl (MMT), revealing an alcohol
30	hydroxyl_mpe	hydroxyl	[O;D2:1]-;!@[C;D4;x1;z1]([C;D1])([C;D2;x0;z1][C;D1])[C;D2;x0;z1][C;D1]	[A:1]	CC(CC)(CC)OC(C)C	C(C)(O)C		4-methoxyphenylethyl, revealing an alcohol
31	hydroxyl_trifluoroethyl	hydroxyl	[O;D2:1]-;!@[C;D2;x1;z1][C;D4;x3;z1](F)(F)F	[A:1]	C(COC(C)C)(F)(F)F	C(C)(O)C		2,2,2-trifluoroethyl, revealing an alcohol
32	hydroxyl_dmab_enamine	hydroxyl	[O;D2:1]-;!@[C;D2;x1;z1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1](:[C;D2]:[C;D2]:1)-[N;D2;x0;z1]-[C;z2;x1;D3]([C;D2;x0;z1][C;D3;x0;z1]([C;D1])[C;D1])=[C;D3;r6;x0;z2]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[A:1]	C(C)(C)CC(Nc1ccc(cc1)COC(C)=O)=C1C(=O)CC(CC1=O)(C)C	C(C)(=O)O		Dmab, as the enamine tautomer, revealing an alcohol
