# One row per (role, group).  `product` is the whole patch, cap included: `[#0:20]` is the R marker the
# cut leaves behind, and 20 is the map number every row gives it, so the enumerator finds the marker by
# number rather than by scanning.  The site the cap hangs off states `@=`, since a cut takes no
# configuration away with the fragment that leaves and a patch otherwise drops the configuration at its
# own reaction centre.  An empty `example` means "use the group's own example".
id	name	group	product	example	decoys	description
1	aryl_halide	aryl_chloride	[A@=:1][#0:20]			aryl C-Cl as a cross-coupling electrophile
2	aryl_halide	aryl_bromide	[A@=:1][#0:20]			aryl C-Br as a cross-coupling electrophile
3	aryl_halide	aryl_iodide	[A@=:1][#0:20]			aryl C-I as a cross-coupling electrophile
4	alkyl_halide	alkyl_chloride	[A@=:1][#0:20]			sp3 C-Cl as an alkylating electrophile
5	alkyl_halide	alkyl_bromide	[A@=:1][#0:20]			sp3 C-Br as an alkylating electrophile
6	alkyl_halide	alkyl_iodide	[A@=:1][#0:20]			sp3 C-I as an alkylating electrophile
7	alkenyl_halide	alkenyl_chloride	[A@=:1]([#0:20])=[A:2]			vinyl C-Cl; the alkene is kept
8	alkenyl_halide	alkenyl_bromide	[A@=:1]([#0:20])=[A:2]			vinyl C-Br; the alkene is kept
9	alkenyl_halide	alkenyl_iodide	[A@=:1]([#0:20])=[A:2]			vinyl C-I; the alkene is kept
10	aryl_fluoride	aryl_fluoride	[A@=:1][#0:20]			aryl C-F, separate from the other halides
11	alkyl_fluoride	alkyl_fluoride	[A@=:1][#0:20]			sp3 C-F, separate from the other halides
12	alkenyl_fluoride	alkenyl_fluoride	[A@=:1]([#0:20])=[A:2]			vinyl C-F, separate from the other halides
13	aryl_sulfonate	aryl_triflate	[A@=:1][#0:20]			aryl triflate as a pseudohalide electrophile
14	aryl_sulfonate	aryl_mesylate	[A@=:1][#0:20]			aryl mesylate as a pseudohalide electrophile
15	aryl_sulfonate	aryl_tosylate	[A@=:1][#0:20]			aryl tosylate as a pseudohalide electrophile
16	alkyl_sulfonate	alkyl_triflate	[A@=:1][#0:20]			sp3 triflate as a pseudohalide electrophile
17	alkyl_sulfonate	alkyl_mesylate	[A@=:1][#0:20]			sp3 mesylate as a pseudohalide electrophile
18	alkyl_sulfonate	alkyl_tosylate	[A@=:1][#0:20]			sp3 tosylate as a pseudohalide electrophile
19	alkynyl_halide	alkynyl_chloride	[A@=:1]([#0:20])#[A:2]			sp C-Cl; the alkyne is kept
20	alkynyl_halide	alkynyl_bromide	[A@=:1]([#0:20])#[A:2]			sp C-Br; the alkyne is kept
21	alkynyl_halide	alkynyl_iodide	[A@=:1]([#0:20])#[A:2]			sp C-I; the alkyne is kept
22	alkynyl_fluoride	alkynyl_fluoride	[A@=:1]([#0:20])#[A:2]			sp C-F, separate from the other halides
23	aryl_boron	aryl_boronic_acid	[A@=:1][#0:20]			aryl boronic acid as a transmetalation donor
24	aryl_boron	aryl_boronic_ester	[A@=:1][#0:20]			aryl boronate ester as a transmetalation donor
25	aryl_boron	aryl_molander_salt	[A@=:1][#0:20]			aryl trifluoroborate as a transmetalation donor
26	alkyl_boron	alkyl_boronic_acid	[A@=:1][#0:20]			sp3 boronic acid as a transmetalation donor
27	alkyl_boron	alkyl_boronic_ester	[A@=:1][#0:20]			sp3 boronate ester as a transmetalation donor
28	alkyl_boron	alkyl_molander_salt	[A@=:1][#0:20]			sp3 trifluoroborate as a transmetalation donor
29	alkenyl_boron	alkenyl_boronic_acid	[A@=:1]([#0:20])=[A:2]			vinyl boronic acid; the alkene is kept
30	alkenyl_boron	alkenyl_boronic_ester	[A@=:1]([#0:20])=[A:2]			vinyl boronate ester; the alkene is kept
31	alkenyl_boron	alkenyl_molander_salt	[A@=:1]([#0:20])=[A:2]			vinyl trifluoroborate; the alkene is kept
32	alkynyl_boron	alkynyl_boronic_acid	[A@=:1]([#0:20])#[A:2]			alkynyl boronic acid; the alkyne is kept
33	alkynyl_boron	alkynyl_boronic_ester	[A@=:1]([#0:20])#[A:2]			alkynyl boronate ester; the alkyne is kept
34	alkynyl_boron	alkynyl_molander_salt	[A@=:1]([#0:20])#[A:2]			alkynyl trifluoroborate; the alkyne is kept
35	aryl_magnesium	aryl_grignard	[A@=:1][#0:20]			aryl Grignard as a carbon nucleophile
36	alkyl_magnesium	alkyl_grignard	[A@=:1][#0:20]			sp3 Grignard as a carbon nucleophile
37	alkenyl_magnesium	alkenyl_grignard	[A@=:1]([#0:20])=[A:2]			vinyl Grignard; the alkene is kept
38	aryl_zinc	aryl_zinc	[A@=:1][#0:20]			aryl zinc as a carbon nucleophile
39	alkyl_zinc	alkyl_zinc	[A@=:1][#0:20]			sp3 zinc as a carbon nucleophile
40	alkenyl_zinc	alkenyl_zinc	[A@=:1]([#0:20])=[A:2]			vinyl zinc; the alkene is kept
41	aryl_stannane	aryl_stannane	[A@=:1][#0:20]			aryl stannane as a transmetalation donor
42	alkyl_stannane	alkyl_stannane	[A@=:1][#0:20]			sp3 stannane as a transmetalation donor
43	alkenyl_stannane	alkenyl_stannane	[A@=:1]([#0:20])=[A:2]			vinyl stannane; the alkene is kept
44	aryl_silane	aryl_silane	[A@=:1][#0:20]			aryl silane as a transmetalation donor
45	alkenyl_silane	alkenyl_silane	[A@=:1]([#0:20])=[A:2]			vinyl silane; the alkene is kept
46	alkynyl_silane	alkynyl_silane	[A@=:1]([#0:20])#[A:2]			alkynyl silane; the alkyne is kept
47	alkyl_acyl	alkyl_carboxylic_acid	[A:3]-[A@=:1]([#0:20])=[A:2]			sp3 acyl handle; the carbonyl O and the alkyl carbon are kept
48	aryl_acyl	aryl_carboxylic_acid	[A:3]-[A@=:1]([#0:20])=[A:2]			aroyl handle; the carbonyl O and the ring carbon are kept
49	alkenyl_acyl	alkenyl_carboxylic_acid	[A:3](=[A:4])-[A@=:1]([#0:20])=[A:2]			enoyl handle; the alkene is kept
50	alkynyl_acyl	alkynyl_carboxylic_acid	[A:3](#[A:4])-[A@=:1]([#0:20])=[A:2]			ynoyl handle; the alkyne is kept
51	acyl_halide	acyl_chloride	[A@=:1]([#0:20])=[A:2]			acyl chloride as an acylating electrophile
52	acyl_halide	acyl_bromide	[A@=:1]([#0:20])=[A:2]			acyl bromide as an acylating electrophile
53	acyl_halide	acyl_fluoride	[A@=:1]([#0:20])=[A:2]			acyl fluoride as an acylating electrophile
54	carbamoyl_halide	carbamoyl_chloride	[A:3]-[A@=:1]([#0:20])=[A:2]			carbamoyl chloride; the amine N and the carbonyl O are kept
55	carbamoyl_halide	carbamoyl_fluoride	[A:3]-[A@=:1]([#0:20])=[A:2]			carbamoyl fluoride; the amine N and the carbonyl O are kept
56	alkyl_amine	primary_amine	[A@=:1]([#0:20])-[A:2]			sp3 primary amine as an N-nucleophile
57	alkyl_amine	secondary_amine	[A@=:1]([#0:20])(-[A:2])-[A:3]			sp3 secondary amine as an N-nucleophile
58	alkyl_amine	aziridine_nh	[A@=:1][#0:20]			aziridine N-H; both ring carbons are untouched
59	aryl_amine	primary_aniline	[A@=:1]([#0:20])-[A:2]			aniline as an N-nucleophile
60	aryl_amine	secondary_aniline	[A@=:1]([#0:20])(-[A:2])-[A:3]			N-substituted aniline as an N-nucleophile
61	amide_nitrogen	primary_amide	[A@=:1]([#0:20])-[A:2]=[A:3]			primary amide N-H as an N-nucleophile
62	amide_nitrogen	secondary_amide	[A@=:1]([#0:20])-[A:2]=[A:3]			secondary amide N-H as an N-nucleophile
63	amidine_nitrogen	primary_amidine_amine	[A@=:1]([#0:20])-[A:2]=[A:3]			amidine NH2 as an N-nucleophile; the far imine N is kept
64	azole_nitrogen	pyrrole	[A@=:1][#0:20]			pyrrole N-H as an N-arylation nucleophile
