# The standardization rules: match `smarts`, then apply `atom_fix` to the matched atoms' charge and
# radical state and `bonds_fix` to the bonds between them.  Rules run in the order they appear here,
# against the molecule as it now stands, so a general rule no longer matches a site a specific rule has
# already fixed.  Rules DO overlap -- `groups:45` matches a dihydroxy-diazine twice on overlapping ring
# atoms -- and `_standardize.py::_pass` documents the policy that handles it.
#
# COLUMNS
#
#   id         `groups:<0-based row index>`.  A log record names this, never a bare index
#   smarts     the pattern, in the core's dialect -- see the `z` note below
#   atom_fix   `;`-joined `slot:charge_delta:radical`; radical `-` leave alone, `0` not a radical,
#              `1` a radical.  ENTRY ORDER IS PRESERVED
#   bonds_fix  `;`-joined `a:b:order`, order 8 being a dative contact
#   tautomer   `0`/`1` -- see below
#   after      `;`-joined ids this row must follow, or `-`.  Every entry is MEASURED, not asserted:
#              `test/test_standardize_rules_examples.py` puts the two rules alone in a table, runs both
#              orders over an example, and fails if the answer does not depend on the order
#   examples   `;`-joined `IN>>OUT`s -- a SMILES this row repairs, and what the whole pass makes of it.
#              ONE PER `,` ALTERNATIVE of the pattern, so a row saying `[P&D4&x0&z1,N&D4&z1]` carries a
#              phosphonium case AND a quaternary-ammonium case.  EXECUTED -- the same test asserts that
#              THIS ROW'S OWN id fires on each and that the product is exactly OUT
#   why        what was drawn wrong and what the patch does about it.  This is also the message the row
#              puts into a `standardize(log=...)` record, so it is written to be read in a log
#
# An empty cell is spelled `-`; no cell contains a tab.
#
# A SLOT IS AN ATOM NUMBER, not a position: an explicit `:N` in the SMARTS where one is written, else the
# next unused integer from 1 walking the atoms in declaration order.  The first atom of a pattern that maps
# three of its later atoms is 4.
#
# THE HYDROGEN COUNT IS A CONSEQUENCE, NEVER AN INPUT.  No row writes one; the engine re-derives every atom a
# patch touched, so an example may come out with a different brutto formula than it went in with -- a
# phosphorus drawn neutral with four bonds was carrying a hydrogen it cannot have, and loses it when the charge
# arrives.
#
# `tautomer` = 0/1, AND THE DEFINITION IS MECHANICAL: 1 when the repair moves a hydrogen from one heavy atom to
# another.  Since no row writes a hydrogen count, a displacement is a CONSEQUENCE of the bond and charge edits
# and cannot be read off the patch columns -- which is why it is a column and not something the engine infers.
# 26 rows carry it and `standardize(fix_tautomers=False)` withholds exactly those 26.
#
# WITHHOLDING A FLAGGED ROW CAN LEAVE AN ILLEGAL VALENCE.  Measured: the hypervalent sulfur of `OS(=N)(=N)O` and
# `OS(=N)(=N)C` is repaired by `groups:71` and by no other row, so with the flag off nothing fires and the
# drawing's own violation stands.  That is the intended reading of the switch -- `fix_tautomers=False` says "do
# not choose a tautomer for me", and where the only legal spelling requires choosing one the caller gets their
# drawing back; `check_valence()` is how they find out.  More often the fallback is a different LEGAL answer
# instead: `C=N(=O)O` gets nitromethane from `groups:11` or the aci-nitro form from `groups:12`.
#
# `groups:71` and `groups:72` ARE THE SAME RULE TWICE, deliberately: the pattern matches a second, overlapping
# site only once the first has been patched, so one pass would leave the second imide mis-drawn.  `groups:50`,
# the other way round, IS UNREACHABLE as shipped and kept rather than deleted: every site it matches is a
# `groups:47` site, `groups:47` comes first, and measured on `groups:50`'s own example they agree.  The example
# test knows `groups:47` fires there and turns red if the two stop agreeing.
#
# `z` IS THE CORE'S HYBRIDIZATION WORD: 1 sp3, 2 sp2, 3 sp AND NOTHING ELSE, 4 aromatic, 5 two cumulated
# doubles with no triple (allene, sulfone, sulfonamide, nitro), 6 any other combination.  A pattern that
# repairs a mis-drawn pentavalent nitro, sulfonyl or azide therefore says `z5` or `z6`; a `z3` there would
# narrow it to alkynes and nitriles and the repair would stop happening silently.
#
# `D` DOES NOT COUNT A DATIVE BOND: a coordination contact is not a substituent, which is why `derive_scalars`
# calls the nitrogen of `[Fe]~N(C)(C)C` sp3.  So the two rows claiming "four substituents, therefore a formal
# charge" -- `groups:09` on boron, `groups:10` on phosphorus or nitrogen -- say it as `D4` plus `z1`: `z1`
# forbids every bond order but single, so that already IS four single bonds, and `D4` cannot see a
# three-coordinate donor as four-coordinate.
#
# `[*]` is any element, any charge, any radical.  `[A]` is the neutral-only wildcard, so it does not match
# `[Na+]` -- an unstated charge means charge zero and never "any charge".
#
# ROWS APPLYING THE SAME PATCH through patterns differing in one element, coordination number or bond order
# are written as ONE ROW with a `&` high-AND alternation -- `[P&D4&z1,S&D3&z1;+]` is "a four-coordinate sp3
# phosphorus or a three-coordinate sp3 sulfur, cationic either way".  `gen_standardize_rules.MERGES` records
# which rows went where and `test/test_standardize_rules_merges.py` proves each collapse selects exactly the
# sites its members selected.
#
# TWO CONSEQUENCES FOR ANYONE EDITING THIS FILE.  Row ids are POSITIONAL, so inserting or collapsing a row
# renumbers every row after it and an id written down elsewhere goes stale silently.  And a MERGED ROW SITS
# AT THE POSITION OF THE LAST ROW IT REPLACED, never the first: a union is at least as general as any of its
# members, order is semantics here, and a merged row moved early gets a shot at a site a more specific rule
# between the members was supposed to see first.

id	smarts	atom_fix	bonds_fix	tautomer	after	examples	why
groups:00	[B;z1:1]1[H;D2:3][B;z1:2][H;D2:4]1	-	1:3:8;2:4:8	0	-	[H]1B(C)([H]B1(C)C)C>>C[B]1(~[H][B](~[H]1)(C)C)C	A diborane's bridging hydrogens are drawn as two ordinary B-H bonds each; the second bond of each bridge is a three-centre contact and becomes dative
groups:01	[O;D1;z1][N;D3;z1][C,N;z1] |^1:0,2|	1:-1:0;2:1:-;3:0:0	2:3:2	0	-	[O]N(C)[NH] |^1:0,3|>>C[N+](=N)[O-]	Two radicals on one trivalent nitrogen, an oxygen and a carbon or nitrogen, are a drawn-out N-oxide: the oxygen becomes [O-], the nitrogen [N+], and the second radical is consumed into a double bond
groups:02	[O,S;D1;z1][S;D4;z1][O;D1;z1] |^1:0,2|	1:0:0;3:0:0	1:2:2;2:3:2	0	-	[O]S(C)(C)[O] |^1:0,4|>>CS(=O)(C)=O	A sulfone drawn as a four-coordinate sulfur carrying two single-bonded radical oxygens; the two radicals are the two S=O bonds
groups:03	[B]-[N;D3;z2]	-	1:2:8	0	-	BN(C)=C>>[BH3]~[N](=C)C	An sp2 nitrogen single-bonded to boron has no electron left to share, so the B-N bond is the nitrogen's lone pair and becomes dative
groups:04	[B;z1,z2]-,=[N;D4;z1,z2]	-	1:2:8	0	-	B=N(C)(C)C>>[BH3]~[N](C)(C)C	A four-coordinate nitrogen bonded to boron is an amine-borane adduct; the B-N bond is a donation and becomes dative
groups:05	[B;z1]-[O,S;D3;z1]	-	1:2:8	0	-	BS(C)C>>[BH3]~[S](C)C	A three-coordinate ether or thioether bonded to boron is donating its lone pair; the bond becomes dative
groups:06	[B;z2;-]=[N;D1,D2,D3;z2;+]	1:1:-;2:-1:-	1:2:1	0	-	[B-]=[N+]>>BN	A borane adduct drawn as the ylide [B-]=[N+]; the two charges cancel and the bond is an ordinary single one
groups:07	[B;D4;z1;+3]([A;-])([A;-])([A;-])[A;-]	1:-4:-;2:1:-;3:1:-;4:1:-;5:1:-	-	0	-	[O-][B+3]([O-])([O-])[O-]>>[B-](O)(O)(O)O	A borate drawn with the whole count of charges on the boron and an anion on every ligand as well; the boron is [B-] and the four ligands are neutral
groups:08	[B;D4;z1]-[A;-]	1:-1:-;2:1:-	-	0	-	[O-]B(O)(O)O>>[B-](O)(O)(O)O	A four-coordinate boron carrying an anionic ligand holds the charge itself; the negative charge moves from the ligand to the boron
groups:09	[B;D4;z1]	1:-1:-	-	0	groups:00;groups:08	OB(O)(O)O>>[B-](O)(O)(O)O	Four single bonds on a boron is a borate; the drawing left it neutral, so the charge is added
groups:10	[P&D4&x0&z1,N&D4&z1]	1:1:-	-	0	-	CP(C)(C)C>>C[P+](C)(C)C;CN(C)(C)C>>C[N+](C)(C)C	Four single bonds on a phosphorus with no heteroatom neighbour, or on a nitrogen, is a phosphonium or a quaternary ammonium; the drawing left it neutral, so the charge is added and the phantom hydrogen goes with it
groups:11	[N;D3;z5;x2](=[O;D1])([O;D1])=C	1:1:-;3:-1:-	1:4:1	1	-	C=N(=O)O>>C[N+]([O-])=O	A nitro group drawn pentavalent in its aci form, C=N(=O)OH; the nitro becomes charge-separated and the acidic hydrogen moves from oxygen to carbon
groups:12	[N;D3;z5](=[O;D1])(=[C,N,O])-[A]	1:1:-;2:-1:-	1:2:1	0	groups:11	C=N(C)=O>>C=[N+](C)[O-]	A pentavalent nitrogen carrying an N=O and a second double bond; the N=O is separated into [N+]-[O-] and the other double bond is left as drawn
groups:13	[N;D3;z2;x2;+]([O;D1;-])([O;D1])=C	-	1:3:2;1:4:1	1	groups:12	C=[N+]([O-])O>>C[N+]([O-])=O	An aci-nitro already charge-separated but still drawn with its hydrogen on oxygen; the C=N becomes single and the N-OH becomes N=O, so the hydrogen moves to carbon
groups:14	[N;D3;z5](=[N;D3;z2;+])(=[O&D1,N&D1&z2,N&D2&z2])[A]	1:1:-;3:-1:-	1:3:1	0	-	CN(=O)=[N+](C)C>>C[N+]([O-])=[N+](C)C;CN(=N)=[N+](C)C>>[N+](C)(=[N+](C)C)[NH-]	A pentavalent nitrogen between an already-cationic nitrogen and either an oxygen or a second nitrogen; the N=O or N=N is separated into [N+]-[X-]
groups:15	[N;D3;z5](=[N;D1,D2;z2])(=[C,N])[A]	1:1:-;2:-1:-	1:2:1	0	-	CN(=N)=N>>C[N+]([NH-])=N	A pentavalent nitrogen carrying an imino nitrogen and a second double bond; which of the two to break is not unique and this row breaks the N=N
groups:16	[N;D3;z2;+](=[O;D1])[N;D1,D2;z1;-]	2:-1:-;3:1:-	1:2:1;1:3:2	0	-	[N-][N+](=O)C>>C[N+](=N)[O-]	An N-nitrosamine drawn with its charges swapped, [N-]-[N+]=O; the N-N becomes a double bond and the negative charge moves to the oxygen
